epoch,Recon_U,Recon_L,SemiSup,Disc_Cat,Gen_Cat,Disc_Sty,Gen_Sty
1,0.11123134344816207,0.1110480360686779,2.297627353668213,1.3854507565498353,0.6940867662429809,1.3827460289001465,0.6944186329841614
2,0.11049931272864341,0.1107591710984707,2.251423454284668,1.3845486402511598,0.6945754170417786,1.3756915926933289,0.6971532166004181
3,0.11008574962615966,0.11035811826586724,1.897146499156952,1.384190809726715,0.6944727778434754,1.36785945892334,0.7001535177230835
4,0.11210480555891991,0.10993282794952393,1.0720794260501862,1.3850402116775513,0.6934389412403107,1.3613787293434143,0.7012591242790223
5,0.11347296237945556,0.10948165580630302,0.9629375398159027,1.385587227344513,0.6930202305316925,1.3518104672431945,0.7046668589115143
6,0.11180120706558228,0.10902686789631844,0.7209425270557404,1.3853237748146057,0.6933638393878937,1.3257672429084777,0.7148996114730835
7,0.10957594364881515,0.10857866257429123,0.4583899527788162,1.3856703996658326,0.693099457025528,1.3012304306030273,0.7196328461170196
8,0.1121222622692585,0.10813683792948722,0.36703247427940366,1.385831391811371,0.693086040019989,1.2925718665122985,0.7206401944160461
9,0.10859899148344994,0.1076985701918602,0.28165150433778763,1.3858519792556763,0.6931568026542664,1.2432227611541748,0.7464872837066651
10,0.10796727985143661,0.10726362094283104,0.19573290944099425,1.3859079837799073,0.6931532979011535,1.268729066848755,0.7609276890754699
11,0.10662994161248207,0.10679788812994957,0.18699881434440613,1.3858850359916688,0.6932069540023804,1.2401470780372619,0.8054283499717713
12,0.110039022564888,0.10635002851486205,0.17771779224276543,1.3859492301940919,0.6932097256183625,1.243537926673889,0.8754297256469726
13,0.10657479912042618,0.10593209117650985,0.1815946765244007,1.3859418511390686,0.693208634853363,1.2027129054069519,0.9193631768226623
14,0.1063456304371357,0.10547171086072922,0.16785030364990233,1.3859558343887328,0.6932161808013916,1.2577720880508423,0.954052597284317
15,0.10721464157104492,0.10501136928796768,0.12579868882894515,1.3860265135765075,0.6931869924068451,1.2898925185203551,1.0080709218978883
16,0.10591124594211579,0.10461082085967063,0.20121369510889053,1.385977077484131,0.693220341205597,1.3893012642860412,1.006404459476471
17,0.10550453886389732,0.10416155681014061,0.13117607533931733,1.3859520196914672,0.6932627618312835,1.4311469435691833,0.9717755913734436
18,0.1039484679698944,0.1037544496357441,0.11929129250347614,1.3859838366508483,0.6932135403156281,1.4205521941184998,0.9084389209747314
19,0.10545555725693703,0.10334291458129882,0.08812805712223053,1.3859598755836486,0.6932580590248107,1.3433557987213134,0.8679811060428619
20,0.1036788910627365,0.10292347148060799,0.08099990077316761,1.3859381198883056,0.693274337053299,1.3519758582115173,0.7964250266551971
21,0.10481269881129265,0.10252343341708184,0.06139845009893179,1.3860223174095154,0.6932041883468628,1.3508213639259339,0.7723290741443634
22,0.10122100263834,0.10215235278010368,0.06771707702428102,1.385915184020996,0.6932729840278625,1.3792962551116943,0.7189773976802826
23,0.10284305587410927,0.10177220031619072,0.06030964441597462,1.3860058188438416,0.693222188949585,1.3871679425239563,0.6999286651611328
24,0.10214669927954674,0.10140015557408333,0.0666974127292633,1.386010730266571,0.6932331025600433,1.3796440362930298,0.6905308246612549
25,0.10114246681332588,0.10100972056388854,0.04121578484773636,1.3858946681022644,0.6932390391826629,1.4079999446868896,0.6626733541488647
26,0.10218281522393227,0.10059211254119874,0.038542640907689926,1.3858909130096435,0.6932137489318848,1.4031296014785766,0.6865301609039307
27,0.10007052421569824,0.1002193808555603,0.0345506370998919,1.385961651802063,0.6932313799858093,1.409180212020874,0.6972569406032563
28,0.10009565055370331,0.09985478743910789,0.024151794053614138,1.385946774482727,0.6932303011417389,1.4052545785903932,0.6867538094520569
29,0.10106856748461723,0.09947258308529854,0.036230962723493576,1.3861134886741637,0.6931716084480286,1.4212632179260254,0.664415591955185
30,0.09921433553099632,0.09910048991441726,0.02942971345037222,1.3860084295272828,0.6932825088500977,1.401556408405304,0.6798420310020447
31,0.0997021108865738,0.09872251152992248,0.034233334194868806,1.3859628558158874,0.6932796895503998,1.3942535161972045,0.6879290640354156
32,0.0974249817430973,0.09834388047456741,0.031155879655852915,1.3860297679901123,0.693199759721756,1.3871754646301269,0.6930986046791077
33,0.09795724004507064,0.09797911420464515,0.02492269086651504,1.3859186053276062,0.6933235228061676,1.3839423060417175,0.6936226844787597
34,0.09844865053892135,0.09762102141976356,0.02804380524903536,1.386132502555847,0.6931748211383819,1.3868659257888794,0.6852568805217742
35,0.09789407402276992,0.09725227057933808,0.027745082369074227,1.3859978914260864,0.6932350695133209,1.3872246861457824,0.6810586094856262
36,0.0967969000339508,0.09687207713723182,0.03434522999450564,1.385947346687317,0.6932600140571594,1.3790809035301208,0.6838870525360108
37,0.0970424048602581,0.09649375081062317,0.02446083566173911,1.3860133290290833,0.6932744026184082,1.3669933795928955,0.6905523300170898
38,0.0959099754691124,0.09611395299434662,0.019268265971913934,1.3859987258911133,0.6932336151599884,1.3704425930976867,0.6870111465454102
39,0.09482991173863412,0.09569950476288795,0.03441352350637317,1.386076605319977,0.6932182669639587,1.3943888068199157,0.6817711234092713
40,0.09480416253209115,0.0952964186668396,0.030886434705462307,1.3860517144203186,0.6932348132133483,1.36455956697464,0.7245251536369324
41,0.09605710282921791,0.09492948576807976,0.03386955335736275,1.385956871509552,0.6932671904563904,1.3806573510169984,0.7241613149642945
42,0.09466023594141007,0.09453798830509186,0.034644259791821244,1.3860474824905396,0.6932412922382355,1.3926801562309266,0.7230218887329102
