"Step","Adam-5 - gen_loss","Adam-5 - gen_loss__MIN","Adam-5 - gen_loss__MAX","SGD-1 - gen_loss","SGD-1 - gen_loss__MIN","SGD-1 - gen_loss__MAX","SGD-5 - gen_loss","SGD-5 - gen_loss__MIN","SGD-5 - gen_loss__MAX","Adam-1 - gen_loss","Adam-1 - gen_loss__MIN","Adam-1 - gen_loss__MAX"
"0","3.4752900208036106","3.4752900208036106","3.4752900208036106","2.3176026140650112","2.3176026140650112","2.3176026140650112","3.419896892706553","3.419896892706553","3.419896892706553","2.1235617170855403","2.1235617170855403","2.1235617170855403"
"1","1.7409276455144087","1.7409276455144087","1.7409276455144087","2.5774551232655845","2.5774551232655845","2.5774551232655845","4.098447527488073","4.098447527488073","4.098447527488073","0.851804715692997","0.851804715692997","0.851804715692997"
"2","2.2290554317707816","2.2290554317707816","2.2290554317707816","1.4822566938400268","1.4822566938400268","1.4822566938400268","4.791924476623535","4.791924476623535","4.791924476623535","0.7397799158593019","0.7397799158593019","0.7397799158593019"
"3","1.5021151140828928","1.5021151140828928","1.5021151140828928","1.1886629929145178","1.1886629929145178","1.1886629929145178","4.142210387388865","4.142210387388865","4.142210387388865","0.8613108706474304","0.8613108706474304","0.8613108706474304"
"4","1.283794243534406","1.283794243534406","1.283794243534406","1.0856111816565195","1.0856111816565195","1.0856111816565195","3.0529126980900765","3.0529126980900765","3.0529126980900765","0.8192239234348139","0.8192239234348139","0.8192239234348139"
"5","1.2040477629502615","1.2040477629502615","1.2040477629502615","0.9832366690039634","0.9832366690039634","0.9832366690039634","2.021027581791083","2.021027581791083","2.021027581791083","0.7850531369944413","0.7850531369944413","0.7850531369944413"
"6","1.432685794432958","1.432685794432958","1.432685794432958","0.9391564198335012","0.9391564198335012","0.9391564198335012","1.6514175760746002","1.6514175760746002","1.6514175760746002","0.9462166572610538","0.9462166572610538","0.9462166572610538"
"7","1.5930023734271526","1.5930023734271526","1.5930023734271526","0.9146549230813981","0.9146549230813981","0.9146549230813981","1.4684021734197934","1.4684021734197934","1.4684021734197934","0.8306110387047132","0.8306110387047132","0.8306110387047132"
"8","1.3712232568860054","1.3712232568860054","1.3712232568860054","0.8773986200491587","0.8773986200491587","0.8773986200491587","1.4256569106380146","1.4256569106380146","1.4256569106380146","0.9469436417520046","0.9469436417520046","0.9469436417520046"
"9","1.2800114931662878","1.2800114931662878","1.2800114931662878","0.837855110069116","0.837855110069116","0.837855110069116","1.3987702304124832","1.3987702304124832","1.3987702304124832","1.194198731680711","1.194198731680711","1.194198731680711"
"10","1.583998518884182","1.583998518884182","1.583998518884182","0.830564225812753","0.830564225812753","0.830564225812753","1.1982247859239579","1.1982247859239579","1.1982247859239579","1.1678003029028574","1.1678003029028574","1.1678003029028574"
