"Step","Adam-5 - recon_loss","Adam-5 - recon_loss__MIN","Adam-5 - recon_loss__MAX","SGD-1 - recon_loss","SGD-1 - recon_loss__MIN","SGD-1 - recon_loss__MAX","SGD-5 - recon_loss","SGD-5 - recon_loss__MIN","SGD-5 - recon_loss__MAX","Adam-1 - recon_loss","Adam-1 - recon_loss__MIN","Adam-1 - recon_loss__MAX"
"0","0.14908672054608663","0.14908672054608663","0.14908672054608663","0.31972340181469916","0.31972340181469916","0.31972340181469916","0.3196459766228994","0.3196459766228994","0.3196459766228994","0.14775660825272402","0.14775660825272402","0.14775660825272402"
"1","0.12678959117581448","0.12678959117581448","0.12678959117581448","0.316378270983696","0.316378270983696","0.316378270983696","0.31564013282457987","0.31564013282457987","0.31564013282457987","0.12595974776893853","0.12595974776893853","0.12595974776893853"
"2","0.12266862489283085","0.12266862489283085","0.12266862489283085","0.3126251249015331","0.3126251249015331","0.3126251249015331","0.3082288357615471","0.3082288357615471","0.3082288357615471","0.11963510164370139","0.11963510164370139","0.11963510164370139"
"3","0.11781356553236644","0.11781356553236644","0.11781356553236644","0.30787656476100284","0.30787656476100284","0.30787656476100284","0.2703980354468028","0.2703980354468028","0.2703980354468028","0.1175107858578364","0.1175107858578364","0.1175107858578364"
"4","0.11492687284946441","0.11492687284946441","0.11492687284946441","0.29982496932148933","0.29982496932148933","0.29982496932148933","0.18233414903283118","0.18233414903283118","0.18233414903283118","0.11756488062441349","0.11756488062441349","0.11756488062441349"
"5","0.11294306475669146","0.11294306475669146","0.11294306475669146","0.2826562350988388","0.2826562350988388","0.2826562350988388","0.16374367527663708","0.16374367527663708","0.16374367527663708","0.11453522431353728","0.11453522431353728","0.11453522431353728"
"6","0.11288673847913742","0.11288673847913742","0.11288673847913742","0.2371808614085118","0.2371808614085118","0.2371808614085118","0.15999371461570264","0.15999371461570264","0.15999371461570264","0.115370034451286","0.115370034451286","0.115370034451286"
"7","0.11319291910777489","0.11319291910777489","0.11319291910777489","0.1780723096181949","0.1780723096181949","0.1780723096181949","0.1597443987429142","0.1597443987429142","0.1597443987429142","0.1131332773839434","0.1131332773839434","0.1131332773839434"
"8","0.11105538044124842","0.11105538044124842","0.11105538044124842","0.1618825418005387","0.1618825418005387","0.1618825418005387","0.15918106156090894","0.15918106156090894","0.15918106156090894","0.11387433527658383","0.11387433527658383","0.11387433527658383"
"9","0.11009798269718886","0.11009798269718886","0.11009798269718886","0.15932445265352727","0.15932445265352727","0.15932445265352727","0.1594089403996865","0.1594089403996865","0.1594089403996865","0.11676788696398338","0.11676788696398338","0.11676788696398338"
"10","0.1101180714989702","0.1101180714989702","0.1101180714989702","0.15845570509632428","0.15845570509632428","0.15845570509632428","0.15903543333212536","0.15903543333212536","0.15903543333212536","0.11415654748678207","0.11415654748678207","0.11415654748678207"
"11","0.1091751832763354","0.1091751832763354","0.1091751832763354","0.15799321718513964","0.15799321718513964","0.15799321718513964","0.15888873544832072","0.15888873544832072","0.15888873544832072","0.11232700672000646","0.11232700672000646","0.11232700672000646"
"12","0.10783067651093006","0.10783067651093006","0.10783067651093006","0.15772138016919296","0.15772138016919296","0.15772138016919296","0.15915454591314","0.15915454591314","0.15915454591314","0.11182079984496038","0.11182079984496038","0.11182079984496038"
"13","0.1068850848575433","0.1068850848575433","0.1068850848575433","0.15760844444235167","0.15760844444235167","0.15760844444235167","0.15894966421027978","0.15894966421027978","0.15894966421027978","0.11110424000769853","0.11110424000769853","0.11110424000769853"
"14","0.10612039065609376","0.10612039065609376","0.10612039065609376","0.15747714214026928","0.15747714214026928","0.15747714214026928","0.15859571486711502","0.15859571486711502","0.15859571486711502","0.10967337584743897","0.10967337584743897","0.10967337584743897"
"15","0.10554100258896748","0.10554100258896748","0.10554100258896748","0.15731958612799646","0.15731958612799646","0.15731958612799646","0.15828534543514253","0.15828534543514253","0.15828534543514253","0.1101392068217198","0.1101392068217198","0.1101392068217198"
"16","0.10493728442738454","0.10493728442738454","0.10493728442738454","0.15724354455868403","0.15724354455868403","0.15724354455868403","0.15827466373642285","0.15827466373642285","0.15827466373642285","0.10880574129521847","0.10880574129521847","0.10880574129521847"
"17","0.1041403670484821","0.1041403670484821","0.1041403670484821","0.15723625543216865","0.15723625543216865","0.15723625543216865","0.15851204899450144","0.15851204899450144","0.15851204899450144","0.10784385244051616","0.10784385244051616","0.10784385244051616"
"18","0.10354359375933807","0.10354359375933807","0.10354359375933807","0.15716784012814364","0.15716784012814364","0.15716784012814364","0.1584985172500213","0.1584985172500213","0.1584985172500213","0.1080934814363718","0.1080934814363718","0.1080934814363718"
"19","0.10329356079300245","0.10329356079300245","0.10329356079300245","0.15698648241659005","0.15698648241659005","0.15698648241659005","0.15792227861781916","0.15792227861781916","0.15792227861781916","0.1069436074172457","0.1069436074172457","0.1069436074172457"
"20","0.10292753507693608","0.10292753507693608","0.10292753507693608","0.15701933398842813","0.15701933398842813","0.15701933398842813","0.15794013808170954","0.15794013808170954","0.15794013808170954","0.1069143856689334","0.1069143856689334","0.1069143856689334"
"21","0.10228380956997474","0.10228380956997474","0.10228380956997474","0.15700438449780146","0.15700438449780146","0.15700438449780146","0.15804017034669718","0.15804017034669718","0.15804017034669718","0.10620055444538594","0.10620055444538594","0.10620055444538594"
"22","0.10229902787754933","0.10229902787754933","0.10229902787754933","0.15684688660005727","0.15684688660005727","0.15684688660005727","0.15776847360034785","0.15776847360034785","0.15776847360034785","0.10664366280039152","0.10664366280039152","0.10664366280039152"
"23","0.10225830102960269","0.10225830102960269","0.10225830102960269","0.15686808275679748","0.15686808275679748","0.15686808275679748","0.15785017256935438","0.15785017256935438","0.15785017256935438","0.10693858868132035","0.10693858868132035","0.10693858868132035"
"24","0.10176462762057781","0.10176462762057781","0.10176462762057781","0.15665374351044495","0.15665374351044495","0.15665374351044495","0.15748314636449018","0.15748314636449018","0.15748314636449018","0.10635020105789104","0.10635020105789104","0.10635020105789104"
"25","0.10158795032650232","0.10158795032650232","0.10158795032650232","0.15684579921265443","0.15684579921265443","0.15684579921265443","0.15757718155781428","0.15757718155781428","0.15757718155781428","0.1062617247675856","0.1062617247675856","0.1062617247675856"
"26","0.10156826621542374","0.10156826621542374","0.10156826621542374","0.1569208124279976","0.1569208124279976","0.1569208124279976","0.15770655520260335","0.15770655520260335","0.15770655520260335","0.10570893532286088","0.10570893532286088","0.10570893532286088"
"27","0.10712116569280625","0.10712116569280625","0.10712116569280625","0.1568181387335062","0.1568181387335062","0.1568181387335062","0.1580476718644301","0.1580476718644301","0.1580476718644301","0.10562665952990452","0.10562665952990452","0.10562665952990452"
