"Step","Adam-5 - disc_loss","Adam-5 - disc_loss__MIN","Adam-5 - disc_loss__MAX","SGD-1 - disc_loss","SGD-1 - disc_loss__MIN","SGD-1 - disc_loss__MAX","SGD-5 - disc_loss","SGD-5 - disc_loss__MIN","SGD-5 - disc_loss__MAX","Adam-1 - disc_loss","Adam-1 - disc_loss__MIN","Adam-1 - disc_loss__MAX"
"0","1.1049776836229528","1.1049776836229528","1.1049776836229528","0.8202037381970634","0.8202037381970634","0.8202037381970634","0.2675187694778045","0.2675187694778045","0.2675187694778045","1.8094915576279162","1.8094915576279162","1.8094915576279162"
"1","1.5598585440466801","1.5598585440466801","1.5598585440466801","1.1333110108971596","1.1333110108971596","1.1333110108971596","0.4452545598552873","0.4452545598552873","0.4452545598552873","1.4415636054674785","1.4415636054674785","1.4415636054674785"
"2","2.9447268676261107","2.9447268676261107","2.9447268676261107","1.2775077792008718","1.2775077792008718","1.2775077792008718","0.7600185234410067","0.7600185234410067","0.7600185234410067","1.4051455680529277","1.4051455680529277","1.4051455680529277"
"3","2.1096384559075037","2.1096384559075037","2.1096384559075037","1.2702071769038836","1.2702071769038836","1.2702071769038836","0.76394728424338","0.76394728424338","0.76394728424338","1.3985961906115214","1.3985961906115214","1.3985961906115214"
"4","1.720980986058712","1.720980986058712","1.720980986058712","1.2984703264633815","1.2984703264633815","1.2984703264633815","0.8279750253384311","0.8279750253384311","0.8279750253384311","1.4854305991530419","1.4854305991530419","1.4854305991530419"
"5","1.4935971357425053","1.4935971357425053","1.4935971357425053","1.3219968177874883","1.3219968177874883","1.3219968177874883","1.0000356298685074","1.0000356298685074","1.0000356298685074","1.4286487350861232","1.4286487350861232","1.4286487350861232"
"6","1.5378871191541355","1.5378871191541355","1.5378871191541355","1.3294284216562906","1.3294284216562906","1.3294284216562906","1.1018147483468055","1.1018147483468055","1.1018147483468055","1.471898795068264","1.471898795068264","1.471898795068264"
"7","1.6139689354101816","1.6139689354101816","1.6139689354101816","1.3368541997671128","1.3368541997671128","1.3368541997671128","1.0710731695095699","1.0710731695095699","1.0710731695095699","1.4576394244035085","1.4576394244035085","1.4576394244035085"
"8","1.2877997467418512","1.2877997467418512","1.2877997467418512","1.3448585673173268","1.3448585673173268","1.3448585673173268","1.1160482888420422","1.1160482888420422","1.1160482888420422","1.4723815403381983","1.4723815403381983","1.4723815403381983"
"9","1.3116913633048535","1.3116913633048535","1.3116913633048535","1.3510777592658996","1.3510777592658996","1.3510777592658996","1.1263092317183812","1.1263092317183812","1.1263092317183812","1.7067147215207419","1.7067147215207419","1.7067147215207419"
"10","1.257304113060236","1.257304113060236","1.257304113060236","1.3562186549107234","1.3562186549107234","1.3562186549107234","1.17254540959994","1.17254540959994","1.17254540959994","1.4715520410736402","1.4715520410736402","1.4715520410736402"
"11","1.1504054351647695","1.1504054351647695","1.1504054351647695","1.358110255797704","1.358110255797704","1.358110255797704","1.220743884841601","1.220743884841601","1.220743884841601","1.3969447549184164","1.3969447549184164","1.3969447549184164"
"12","1.2224879785378775","1.2224879785378775","1.2224879785378775","1.3653466365734737","1.3653466365734737","1.3653466365734737","1.232900213499864","1.232900213499864","1.232900213499864","1.3494341731071473","1.3494341731071473","1.3494341731071473"
"13","1.2562926216920216","1.2562926216920216","1.2562926216920216","1.3681167866786321","1.3681167866786321","1.3681167866786321","1.2475533850987752","1.2475533850987752","1.2475533850987752","1.354262582063675","1.354262582063675","1.354262582063675"
"14","1.2497957354784013","1.2497957354784013","1.2497957354784013","1.369133897225062","1.369133897225062","1.369133897225062","1.2864129958550135","1.2864129958550135","1.2864129958550135","1.3735257686177889","1.3735257686177889","1.3735257686177889"
"15","1.2443106228113174","1.2443106228113174","1.2443106228113174","1.3623626748720805","1.3623626748720805","1.3623626748720805","1.3026521301269531","1.3026521301269531","1.3026521301269531","1.3631141397356987","1.3631141397356987","1.3631141397356987"
"16","1.2625329796473186","1.2625329796473186","1.2625329796473186","1.3732336797316869","1.3732336797316869","1.3732336797316869","1.3120269012451171","1.3120269012451171","1.3120269012451171","1.3452369128664334","1.3452369128664334","1.3452369128664334"
"17","1.3291972710688909","1.3291972710688909","1.3291972710688909","1.3728055882453918","1.3728055882453918","1.3728055882453918","1.2979459673166276","1.2979459673166276","1.2979459673166276","1.3503043907880783","1.3503043907880783","1.3503043907880783"
"18","1.350074794491132","1.350074794491132","1.350074794491132","1.375371933579445","1.375371933579445","1.375371933579445","1.3086551769574484","1.3086551769574484","1.3086551769574484","1.3830198490619658","1.3830198490619658","1.3830198490619658"
"19","1.3614249928792317","1.3614249928792317","1.3614249928792317","1.3762221334377924","1.3762221334377924","1.3762221334377924","1.321065817475319","1.321065817475319","1.321065817475319","1.3749445777138074","1.3749445777138074","1.3749445777138074"
"20","1.3724417612950006","1.3724417612950006","1.3724417612950006","1.3742715990543366","1.3742715990543366","1.3742715990543366","1.3060884332656861","1.3060884332656861","1.3060884332656861","1.3509076668818791","1.3509076668818791","1.3509076668818791"
"21","1.3762248148520788","1.3762248148520788","1.3762248148520788","1.3749459818998973","1.3749459818998973","1.3749459818998973","1.3114684085051218","1.3114684085051218","1.3114684085051218","1.3648961887756983","1.3648961887756983","1.3648961887756983"
"22","1.3798317225774128","1.3798317225774128","1.3798317225774128","1.3771085524559021","1.3771085524559021","1.3771085524559021","1.314282234509786","1.314282234509786","1.314282234509786","1.3742464100321135","1.3742464100321135","1.3742464100321135"
"23","1.3850203863779704","1.3850203863779704","1.3850203863779704","1.3752114003896714","1.3752114003896714","1.3752114003896714","1.3263627298672993","1.3263627298672993","1.3263627298672993","1.397493157784144","1.397493157784144","1.397493157784144"
"24","1.386324726541837","1.386324726541837","1.386324726541837","1.3770810095469157","1.3770810095469157","1.3770810095469157","1.3328414730230966","1.3328414730230966","1.3328414730230966","1.386745075583458","1.386745075583458","1.386745075583458"
"25","1.3876754832267761","1.3876754832267761","1.3876754832267761","1.376667232910792","1.376667232910792","1.376667232910792","1.3406792630751927","1.3406792630751927","1.3406792630751927","1.4135968033472697","1.4135968033472697","1.4135968033472697"
"26","1.3878419975439706","1.3878419975439706","1.3878419975439706","1.3778682279586791","1.3778682279586791","1.3778682279586791","1.334852806131045","1.334852806131045","1.334852806131045","1.3816596893469493","1.3816596893469493","1.3816596893469493"
"27","1.3190940929949284","1.3190940929949284","1.3190940929949284","1.3787064520517984","1.3787064520517984","1.3787064520517984","1.3470880005757013","1.3470880005757013","1.3470880005757013","1.4009576604763667","1.4009576604763667","1.4009576604763667"
"28","1.2704187931617101","1.2704187931617101","1.2704187931617101","1.3766888829072317","1.3766888829072317","1.3766888829072317","1.3339019487301509","1.3339019487301509","1.3339019487301509","1.4065518091122309","1.4065518091122309","1.4065518091122309"
"29","1.3435864410797755","1.3435864410797755","1.3435864410797755","1.3804125986496607","1.3804125986496607","1.3804125986496607","1.3404987168312072","1.3404987168312072","1.3404987168312072","1.4162290298938751","1.4162290298938751","1.4162290298938751"
"30","1.3574752287069956","1.3574752287069956","1.3574752287069956","1.381689216295878","1.381689216295878","1.381689216295878","1.354252505103747","1.354252505103747","1.354252505103747","1.4311629486083985","1.4311629486083985","1.4311629486083985"
"31","1.3687623025973639","1.3687623025973639","1.3687623025973639","1.3802497671047846","1.3802497671047846","1.3802497671047846","1.3576182856162389","1.3576182856162389","1.3576182856162389","1.3890826853116354","1.3890826853116354","1.3890826853116354"
"32","1.365438703695933","1.365438703695933","1.365438703695933","1.3788717859983444","1.3788717859983444","1.3788717859983444","1.3536765883366266","1.3536765883366266","1.3536765883366266","1.38259503642718","1.38259503642718","1.38259503642718"
"33","1.3689789452155432","1.3689789452155432","1.3689789452155432","1.3791503981749216","1.3791503981749216","1.3791503981749216","1.3514486455917358","1.3514486455917358","1.3514486455917358","1.3908978909254075","1.3908978909254075","1.3908978909254075"
"34","1.3760908915599188","1.3760908915599188","1.3760908915599188","1.3817225712537766","1.3817225712537766","1.3817225712537766","1.3487620188792546","1.3487620188792546","1.3487620188792546","1.3896781839927037","1.3896781839927037","1.3896781839927037"
"35","1.3712282236417135","1.3712282236417135","1.3712282236417135","1.3810475075244903","1.3810475075244903","1.3810475075244903","1.354977762301763","1.354977762301763","1.354977762301763","1.3837114195028941","1.3837114195028941","1.3837114195028941"
"36","1.3800920395056406","1.3800920395056406","1.3800920395056406","1.380487514535586","1.380487514535586","1.380487514535586","1.3594766650597254","1.3594766650597254","1.3594766650597254","1.4135910441478095","1.4135910441478095","1.4135910441478095"
"37","1.3792297979195913","1.3792297979195913","1.3792297979195913","1.3813062284390132","1.3813062284390132","1.3813062284390132","1.3597897579272589","1.3597897579272589","1.3597897579272589","1.4233057975769043","1.4233057975769043","1.4233057975769043"
"38","1.3763747706015905","1.3763747706015905","1.3763747706015905","1.3813395017385484","1.3813395017385484","1.3813395017385484","1.364036245147387","1.364036245147387","1.364036245147387","1.4155048231283824","1.4155048231283824","1.4155048231283824"
"39","1.3766187024116516","1.3766187024116516","1.3766187024116516","1.3808043271303176","1.3808043271303176","1.3808043271303176","1.3656777000427247","1.3656777000427247","1.3656777000427247","1.3857425129413605","1.3857425129413605","1.3857425129413605"
"40","1.3191965450843175","1.3191965450843175","1.3191965450843175","1.3831720193227133","1.3831720193227133","1.3831720193227133","1.3626599963506063","1.3626599963506063","1.3626599963506063","1.3983400225639344","1.3983400225639344","1.3983400225639344"
"41","1.2503094624479612","1.2503094624479612","1.2503094624479612","1.381559325257937","1.381559325257937","1.381559325257937","1.3606823001305262","1.3606823001305262","1.3606823001305262","1.4135630538066228","1.4135630538066228","1.4135630538066228"
"42","1.31688041528066","1.31688041528066","1.31688041528066","1.3825941256682077","1.3825941256682077","1.3825941256682077","1.368939099907875","1.368939099907875","1.368939099907875","1.3926834126313528","1.3926834126313528","1.3926834126313528"
"43","1.3412645943959554","1.3412645943959554","1.3412645943959554","1.3821758466959","1.3821758466959","1.3821758466959","1.3612324174245198","1.3612324174245198","1.3612324174245198","1.389192516207695","1.389192516207695","1.389192516207695"
"44","1.3440897220373154","1.3440897220373154","1.3440897220373154","1.381379235982895","1.381379235982895","1.381379235982895","1.3585756089289982","1.3585756089289982","1.3585756089289982","1.3899156610171","1.3899156610171","1.3899156610171"
"45","1.3471165758371353","1.3471165758371353","1.3471165758371353","1.3820324051380157","1.3820324051380157","1.3820324051380157","1.3672351094086965","1.3672351094086965","1.3672351094086965","1.4225790371497473","1.4225790371497473","1.4225790371497473"
"46","1.3551679235696792","1.3551679235696792","1.3551679235696792","1.3835786833365757","1.3835786833365757","1.3835786833365757","1.3694413876533509","1.3694413876533509","1.3694413876533509","1.4166523196299872","1.4166523196299872","1.4166523196299872"
"47","1.358772385319074","1.358772385319074","1.358772385319074","1.383012253244718","1.383012253244718","1.383012253244718","1.3704239487648011","1.3704239487648011","1.3704239487648011","1.4259731024503708","1.4259731024503708","1.4259731024503708"
"48","1.3603782053788502","1.3603782053788502","1.3603782053788502","1.3823453005154926","1.3823453005154926","1.3823453005154926","1.3641014303763708","1.3641014303763708","1.3641014303763708","1.3925362714131673","1.3925362714131673","1.3925362714131673"
"49","1.3644160030285517","1.3644160030285517","1.3644160030285517","1.3839291463295618","1.3839291463295618","1.3839291463295618","1.367433730562528","1.367433730562528","1.367433730562528","1.388565688729286","1.388565688729286","1.388565688729286"
"50","1.3370703415075937","1.3370703415075937","1.3370703415075937","1.3801030592123666","1.3801030592123666","1.3801030592123666","1.350550975203514","1.350550975203514","1.350550975203514","1.3686870263020197","1.3686870263020197","1.3686870263020197"
"51","1.3349906899531683","1.3349906899531683","1.3349906899531683","1.3803593115011852","1.3803593115011852","1.3803593115011852","1.3593404215574265","1.3593404215574265","1.3593404215574265","1.3653083656231562","1.3653083656231562","1.3653083656231562"
"52","1.3187278489271799","1.3187278489271799","1.3187278489271799","1.3781199391682943","1.3781199391682943","1.3781199391682943","1.3607048696279527","1.3607048696279527","1.3607048696279527","1.360891125400861","1.360891125400861","1.360891125400861"
"53","1.3096460868914923","1.3096460868914923","1.3096460868914923","1.3784241030613582","1.3784241030613582","1.3784241030613582","1.3515474565823873","1.3515474565823873","1.3515474565823873","1.352307112812996","1.352307112812996","1.352307112812996"
"54","1.3124770162502926","1.3124770162502926","1.3124770162502926","1.375544462800026","1.375544462800026","1.375544462800026","1.3421050749222438","1.3421050749222438","1.3421050749222438","1.3633504317204157","1.3633504317204157","1.3633504317204157"
"55","1.3088161571820578","1.3088161571820578","1.3088161571820578","1.3787585828701656","1.3787585828701656","1.3787585828701656","1.341309665242831","1.341309665242831","1.341309665242831","1.366046239535014","1.366046239535014","1.366046239535014"
"56","1.3037145278851192","1.3037145278851192","1.3037145278851192","1.3858671657244364","1.3858671657244364","1.3858671657244364","1.3396767884492875","1.3396767884492875","1.3396767884492875","1.3442308415969213","1.3442308415969213","1.3442308415969213"
"57","1.299251964489619","1.299251964489619","1.299251964489619","1.376516134738922","1.376516134738922","1.376516134738922","1.3467541714509328","1.3467541714509328","1.3467541714509328","1.3543614906072616","1.3543614906072616","1.3543614906072616"
"58","1.300691019296646","1.300691019296646","1.300691019296646","1.3829006791114806","1.3829006791114806","1.3829006791114806","1.3331836809714634","1.3331836809714634","1.3331836809714634","1.345643664797147","1.345643664797147","1.345643664797147"
"59","1.3022325108448665","1.3022325108448665","1.3022325108448665","1.3747929282983145","1.3747929282983145","1.3747929282983145","1.3491332244873047","1.3491332244873047","1.3491332244873047","1.353121904929479","1.353121904929479","1.353121904929479"
"60","1.30356809258461","1.30356809258461","1.30356809258461","1.3810272669792176","1.3810272669792176","1.3810272669792176","1.3394196712970734","1.3394196712970734","1.3394196712970734","1.3454405222336452","1.3454405222336452","1.3454405222336452"
"61","1.30425188601017","1.30425188601017","1.30425188601017","1.3711404313643774","1.3711404313643774","1.3711404313643774","1.3260775508483251","1.3260775508483251","1.3260775508483251","1.3498820529381435","1.3498820529381435","1.3498820529381435"
"62","1.3013129051526386","1.3013129051526386","1.3013129051526386","1.3820355107386908","1.3820355107386908","1.3820355107386908","1.3300435314575831","1.3300435314575831","1.3300435314575831","1.3464643947283428","1.3464643947283428","1.3464643947283428"
"63","1.304821983774503","1.304821983774503","1.304821983774503","1.378841225306193","1.378841225306193","1.378841225306193","1.330430836478869","1.330430836478869","1.330430836478869","1.342853651046753","1.342853651046753","1.342853651046753"
"64","1.303614456653595","1.303614456653595","1.303614456653595","1.3751988138755162","1.3751988138755162","1.3751988138755162","1.3345022376378377","1.3345022376378377","1.3345022376378377","1.3449690560499827","1.3449690560499827","1.3449690560499827"
