epoch,Recon_U,Recon_L,SemiSup,Disc_Cat,Gen_Cat,Disc_Sty,Gen_Sty
1,0.1121402382850647,0.11018048971891403,2.303640127182007,1.3863584995269775,0.693560779094696,1.3868597745895386,0.6931458711624146
2,0.11707469820976257,0.110175721347332,2.302417278289795,1.386026382446289,0.6937963962554932,1.3863213062286377,0.6932594776153564
3,0.10828788578510284,0.11016658693552017,2.3003170490264893,1.3857873678207397,0.694018542766571,1.3857108354568481,0.6935097575187683
4,0.10686364024877548,0.11015364527702332,2.2977232933044434,1.3856029510498047,0.6941515803337097,1.38486909866333,0.6937668323516846
5,0.10639553517103195,0.11013736575841904,2.2943012714385986,1.3854608535766602,0.6942795515060425,1.3841321468353271,0.6939899921417236
6,0.11672347038984299,0.11011806130409241,2.290076971054077,1.3853352069854736,0.6943390369415283,1.3834373950958252,0.6942232847213745
7,0.10771423578262329,0.11009601503610611,2.285884380340576,1.3852423429489136,0.6944301724433899,1.3826825618743896,0.6944877505302429
8,0.11195738613605499,0.11007142066955566,2.280823230743408,1.385127305984497,0.6945049166679382,1.3820061683654785,0.6946629285812378
9,0.11050402373075485,0.11004462093114853,2.2753336429595947,1.3850290775299072,0.6945458650588989,1.3815515041351318,0.6949092149734497
10,0.10921486467123032,0.11001581698656082,2.2687926292419434,1.3849875926971436,0.6945924162864685,1.380852460861206,0.6951043605804443
11,0.11246415227651596,0.10998515039682388,2.2624423503875732,1.3848826885223389,0.6946384906768799,1.3801212310791016,0.6953037977218628
12,0.10705892741680145,0.10995294153690338,2.2542946338653564,1.3847994804382324,0.6946285963058472,1.3795127868652344,0.6955709457397461
13,0.11760037392377853,0.10991933196783066,2.2447826862335205,1.384764313697815,0.6946591138839722,1.3787117004394531,0.695790708065033
14,0.11683740466833115,0.10988438129425049,2.232659101486206,1.3846772909164429,0.6946690678596497,1.3782122135162354,0.6960023045539856
15,0.11055123805999756,0.10984813421964645,2.2196848392486572,1.384626865386963,0.6947334408760071,1.377573847770691,0.6962553262710571
16,0.11155637353658676,0.10981090366840363,2.2060346603393555,1.3845574855804443,0.694721519947052,1.3769841194152832,0.696460485458374
17,0.11046472936868668,0.1097727119922638,2.186068058013916,1.384455680847168,0.6947289109230042,1.37599515914917,0.6967349052429199
18,0.11364299803972244,0.10973366349935532,2.162743330001831,1.3844411373138428,0.6947537064552307,1.3756027221679688,0.6969981789588928
19,0.11771303415298462,0.10969392955303192,2.1354820728302,1.3844001293182373,0.6947399973869324,1.3750048875808716,0.6971839666366577
20,0.10824111849069595,0.10965340584516525,2.100233793258667,1.3843414783477783,0.6947365999221802,1.373999834060669,0.6974548101425171
21,0.11629483848810196,0.1096123680472374,2.054579734802246,1.3842967748641968,0.6947243809700012,1.373492956161499,0.6977199912071228
22,0.10934431105852127,0.1095706894993782,1.993721604347229,1.384278416633606,0.6946684718132019,1.3730275630950928,0.6979967951774597
23,0.11047155410051346,0.10952868312597275,1.9219696521759033,1.3842196464538574,0.6946954727172852,1.3718619346618652,0.698283851146698
24,0.1170901209115982,0.10948633402585983,1.8422352075576782,1.3842697143554688,0.6945856809616089,1.3713312149047852,0.6985180377960205
25,0.11632240563631058,0.10944365710020065,1.7575955390930176,1.3842341899871826,0.694589376449585,1.3707728385925293,0.6988081932067871
26,0.1125742644071579,0.1094006597995758,1.6590139865875244,1.3842062950134277,0.6945281624794006,1.369396448135376,0.6990694999694824
27,0.11345113813877106,0.10935736447572708,1.5442912578582764,1.3843107223510742,0.6944073438644409,1.3689873218536377,0.699329137802124
28,0.10780797898769379,0.10931386798620224,1.429654836654663,1.38437819480896,0.694293200969696,1.3678967952728271,0.6995558142662048
29,0.11614589393138885,0.10927030444145203,1.2605053186416626,1.384397268295288,0.6941946148872375,1.3665904998779297,0.6997637748718262
30,0.11036105453968048,0.10922645032405853,1.0996454954147339,1.3845467567443848,0.6940910220146179,1.3666338920593262,0.6999796628952026
31,0.11438282579183578,0.10918226838111877,0.9503656029701233,1.3846856355667114,0.6939411759376526,1.3652844429016113,0.7000626921653748
32,0.11077838391065598,0.10913768410682678,0.8047318458557129,1.38477623462677,0.6938288807868958,1.3653504848480225,0.7001575827598572
33,0.10558582842350006,0.10909261554479599,0.6638200283050537,1.3849222660064697,0.6936174035072327,1.363788366317749,0.7001885175704956
34,0.10840338468551636,0.10904701799154282,0.5524881482124329,1.3851161003112793,0.6934828758239746,1.3644053936004639,0.6998692750930786
35,0.10400130599737167,0.10900162905454636,0.5012425780296326,1.3852248191833496,0.6933414936065674,1.3636765480041504,0.6997593641281128
36,0.1123521700501442,0.10895580053329468,0.3923822343349457,1.3853670358657837,0.6931551098823547,1.3654463291168213,0.6987736821174622
37,0.11403616517782211,0.10890953987836838,0.35976365208625793,1.3854875564575195,0.6930869817733765,1.3651838302612305,0.6980030536651611
38,0.11643260717391968,0.10886362195014954,0.2520939111709595,1.3856559991836548,0.6930094957351685,1.3670732975006104,0.6968896389007568
39,0.10732084512710571,0.10881641507148743,0.20330236852169037,1.3856441974639893,0.693010687828064,1.3683795928955078,0.6965811252593994
40,0.11324236541986465,0.10877061635255814,0.15605635941028595,1.3857349157333374,0.6929529309272766,1.3685107231140137,0.6956638693809509
41,0.10710062831640244,0.10872456431388855,0.13869181275367737,1.3857882022857666,0.6929348111152649,1.3687989711761475,0.696204662322998
42,0.11200834065675735,0.10867998749017715,0.12101242691278458,1.3858108520507812,0.6929610371589661,1.3693671226501465,0.6966034770011902
